ts,code,name,exchange,day_trade,category,reference,limit_up,limit_down,open,high,low,close,buy_price,sell_price,volume,total_amount
2026-07-07T22:10:33,1603,華電,TSE,DayTrade.Yes,06,32.9,36.15,29.65,33.05,33.05,32.1,32.35,32.2,32.35,270,8758500.0
2026-07-07T22:10:33,1604,聲寶,TSE,DayTrade.Yes,06,23.8,26.15,21.45,23.85,23.85,23.5,23.6,23.55,23.6,560,13218000.0
2026-07-07T22:10:33,1605,華新,TSE,DayTrade.Yes,06,36.55,40.2,32.9,36.6,36.8,34.85,35.05,35.0,35.05,23386,831740950.0
2026-07-07T22:10:33,1608,華榮,TSE,DayTrade.Yes,06,35.4,38.9,31.9,35.8,35.9,34.25,34.5,34.5,34.55,3790,132227650.0
2026-07-07T22:10:33,1609,大亞,TSE,DayTrade.Yes,06,43.75,48.1,39.4,43.9,44.25,41.55,41.95,41.95,42.0,44172,1904556450.0
2026-07-07T22:10:33,1611,中電,TSE,DayTrade.Yes,06,13.85,15.2,12.5,13.85,13.85,13.25,13.3,13.3,13.35,1145,15414450.0
2026-07-07T22:10:33,1612,宏泰,TSE,DayTrade.Yes,06,35.1,38.6,31.6,35.1,35.25,34.25,34.35,34.35,34.4,1493,51686150.0
2026-07-07T22:10:33,1614,三洋電,TSE,DayTrade.Yes,06,32.0,35.2,28.8,32.15,32.4,32.05,32.2,32.1,32.25,69,2221950.0
2026-07-07T22:10:33,1615,大山,TSE,DayTrade.Yes,06,45.55,50.1,41.0,46.4,47.1,45.55,45.7,45.7,45.75,338,15581050.0
2026-07-07T22:10:33,1616,億泰,TSE,DayTrade.OnlyBuy,06,23.65,26.0,21.3,24.1,24.1,23.2,23.5,23.45,23.5,851,19996000.0
2026-07-07T22:10:33,1617,榮星,TSE,DayTrade.No,06,26.7,29.35,24.05,26.7,26.7,24.1,24.7,24.5,24.7,1809,45485000.0
2026-07-07T22:10:33,1618,合機,TSE,DayTrade.Yes,06,42.2,46.4,38.0,42.55,42.55,40.8,40.95,40.95,41.0,971,40092800.0
2026-07-07T22:10:33,1623,大東電,TSE,DayTrade.Yes,06,235.0,258.5,211.5,230.0,245.0,230.0,230.5,230.5,231.5,1756,414241500.0
2026-07-07T22:10:33,1626,艾美特-KY,TSE,DayTrade.Yes,06,11.35,12.45,10.25,11.55,11.55,10.95,10.95,10.95,11.1,114,1272800.0
2026-07-07T22:10:33,1702,南僑,TSE,DayTrade.Yes,02,33.85,37.2,30.5,33.85,34.0,33.2,33.35,33.35,33.45,659,22033350.0
2026-07-07T22:10:33,1707,葡萄王,TSE,DayTrade.Yes,22,93.2,102.5,83.9,93.0,93.0,90.8,91.1,91.0,91.3,647,59361000.0
2026-07-07T22:10:33,1708,東鹼,TSE,DayTrade.Yes,21,61.7,67.8,55.6,62.0,63.3,59.7,60.0,60.0,60.1,12412,757573700.0
2026-07-07T22:10:33,1709,和益,TSE,DayTrade.Yes,21,24.85,27.3,22.4,24.3,25.15,24.05,24.5,24.45,24.5,5195,127197750.0
2026-07-07T22:10:33,1710,東聯,TSE,DayTrade.Yes,21,18.65,20.5,16.8,18.4,18.45,17.15,17.35,17.3,17.35,18197,321547150.0
2026-07-07T22:10:33,1711,永光,TSE,DayTrade.Yes,21,47.35,52.0,42.65,47.85,47.85,43.15,43.3,43.3,43.35,13853,622075200.0
2026-07-07T22:10:33,1712,興農,TSE,DayTrade.Yes,21,39.9,43.85,35.95,39.95,40.05,39.55,39.75,39.7,39.75,442,17565800.0
2026-07-07T22:10:33,1713,國化,TSE,DayTrade.Yes,21,49.5,54.4,44.55,49.5,49.5,49.0,49.1,49.1,49.15,287,14114950.0
2026-07-07T22:10:33,1714,和桐,TSE,DayTrade.Yes,21,20.9,22.95,18.85,20.6,21.3,18.85,18.85,0.0,18.85,77786,1518750900.0
2026-07-07T22:10:33,1717,長興,TSE,DayTrade.Yes,21,85.4,93.9,76.9,86.8,86.9,76.9,77.1,77.1,77.2,55516,4490650300.0
2026-07-07T22:10:33,1718,中纖,TSE,DayTrade.No,21,15.2,16.7,13.7,15.0,15.5,14.55,14.95,14.9,14.95,32241,479565100.0
2026-07-07T22:10:33,1720,生達,TSE,DayTrade.Yes,22,63.9,70.2,57.6,63.8,64.0,63.1,63.6,63.6,63.7,183,11638400.0
2026-07-07T22:10:33,1721,三晃,TSE,DayTrade.No,21,29.05,31.95,26.15,27.65,28.45,26.15,26.15,0.0,26.15,5659,151576350.0
2026-07-07T22:10:33,1722,台肥,TSE,DayTrade.Yes,21,48.95,53.8,44.1,48.95,49.15,48.05,48.15,48.1,48.15,1714,82931400.0
2026-07-07T22:10:33,1723,中碳,TSE,DayTrade.OnlyBuy,21,85.1,93.6,76.6,85.2,85.2,83.1,83.1,83.1,83.2,396,33107500.0
2026-07-07T22:10:33,1725,元禎,TSE,DayTrade.Yes,21,36.0,39.6,32.4,35.55,35.55,34.05,34.2,34.15,34.55,225,7781750.0
